time/time_elapsed,time/fps,time/iterations,train/reward,time/total_timesteps,train/entropy_loss,train/clip_fraction,train/clip_range,train/approx_kl,train/std,train/explained_variance,train/n_updates,train/value_loss,train/learning_rate,train/loss,train/policy_gradient_loss
4,425,1,-1475.3662,2048,,,,,,,,,,,
9,417,2,-3548.0527,4096,-14.205722016096114,0.139697265625,0.2,0.007961253,1.0028783082962036,2.980232238769531e-07,10,102945100.875,0.00025,61485920.0,-0.002103960751264822
14,426,3,-1598.0645,6144,-14.223705148696899,0.0451171875,0.2,0.0061207744,1.0038578510284424,-1.1920928955078125e-07,20,297005560.15,0.00025,148757760.0,-0.0017340553153189831
19,423,4,-6111.7334,8192,-14.242143768072129,0.48603515625,0.2,0.15032926,1.0061209201812744,0.0,30,139666060.075,0.00025,48188928.0,0.03892076686606742
23,430,5,-3779.4182,10240,-14.25069002509117,0.0,0.2,0.0003566713,1.0062543153762817,-2.384185791015625e-07,40,857442052.1,0.00025,452928128.0,-0.00020367352408356965
29,414,6,748.55994,12288,-14.252557939291,0.0,0.2,0.0007961587,1.0064189434051514,1.5497207641601562e-06,50,1321495830.2,0.00025,817526016.0,-0.0008085527850198559
33,424,7,-2321.2708,14336,-14.25330200791359,0.0,0.2,0.00021563444,1.0064204931259155,3.3974647521972656e-06,60,1395925744.8,0.00025,928131712.0,-0.0009684529584774281
38,421,8,-73.65869,16384,-14.253722620010375,0.0,0.2,0.0009243866,1.006577730178833,-3.6954879760742188e-06,70,1264822852.0,0.00025,793584320.0,-0.0010118200996657833
43,426,9,1139.6506,18432,-14.255235922336578,0.0,0.2,5.74913e-05,1.006667971611023,1.2040138244628906e-05,80,1286654716.6,0.00025,613722880.0,-0.00038336121942847965
48,424,10,319.80478,20480,-14.255491089820861,0.0,0.2,0.0003682989,1.0065977573394775,2.205371856689453e-05,90,1392412240.0,0.00025,403148224.0,-0.000901268255256582
52,432,11,1997.5127,22528,-14.255025613307954,0.0,0.2,0.00020096742,1.0066275596618652,6.079673767089844e-06,100,1689790265.8,0.00025,320562368.0,-0.0008388796297367663
56,433,12,2233.1074,24576,-14.2545281291008,4.8828125e-05,0.2,0.001885422,1.0064995288848877,-5.9604644775390625e-06,110,1184403578.8,0.00025,705166336.0,-0.0017526521332911216
61,432,13,1232.74,26624,-14.253859448432923,0.0,0.2,0.0006782792,1.0064765214920044,-2.002716064453125e-05,120,702212436.6,0.00025,201865184.0,-0.0012903900635137689
66,433,14,-15.59034,28672,-14.25670109987259,0.00224609375,0.2,0.0029785624,1.0070894956588745,-5.125999450683594e-06,130,1109115652.0,0.00025,403415904.0,-0.002704292222915683
70,433,15,1427.3604,30720,-14.260539484024047,0.0001953125,0.2,0.0019460573,1.0071134567260742,1.7881393432617188e-07,140,1568927632.0,0.00025,1189867392.0,-0.0015332937939092517
